ID,facilitycode,district,dcode,name,lab,ftype,managedby,resultdeliverymode,deliverymode,smsprinter,resultsdeliverysponsor,contactperson,contacttelephone,contactperson2,contacttelephone2,smsprinterserialno,smsprinterversion,smsinstalldate,smsprinterno,PUK,PIN,simcardno,network,telephone,fax,email,PostalAddress,physicaladdress,ContactEmail,Flag,telephone2
"0524","0524","17","Mzimba","Mkoma Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0525","0525","17","Mzimba","Msese Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0526","0526","17","Mzimba","Mtende Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0527","0527","17","Mzimba","Mzalangwe Health Centre","3","Health Center","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0528","0528","17","Mzimba","Mzambazi Rural Hospital","3","Rural Hospital","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0530","0530","17","Mzimba","Kabuwa Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0531","0531","17","Mzimba","Raiply Dispensary","3","Dispensary","","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0532","0532","17","Mzimba","Vibangalala Dispensary","3","Dispensary","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0590","0590","17","Mzimba","Unknown Facilitys from Mzimba Lab","3","Hospital","MOH",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"0601","0601","10","Likoma","St Peters Hospital","3","Hospital","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0602","0602","10","Likoma","Chizumulo (St Marys) Health Center","3","Health Center","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0701","0701","17","Mzimba","Mzuzu Urban Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0703","0703","17","Mzimba","Choma Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0704","0704","17","Mzimba","Ekwendeni Mission Hospital","3","Hospital","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0705","0705","25","Rumphi","Engucwini Dispensary","3","Dispensary","LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0706","0706","25","Rumphi","Enukweni Health Centre","3","Health Center","MOH/CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0707","0707","17","Mzimba","Kafukule Health Centre","3","Health Center","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0708","0708","25","Rumphi","Kamwe Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0709","0709","17","Mzimba","Luvwere Dispensary","3","Dispensary","LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0710","0710","25","Rumphi","Luzi Health Centre","3","Health Center","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0711","0711","17","Mzimba","Malidadi Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0712","0712","17","Mzimba","Matuli Dispensary","3","Dispensary","","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0713","0713","17","Mzimba","Mpherembe Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0714","0714","17","Mzimba","Mtwalo Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0715","0715","17","Mzimba","Njuyu Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0716","0716","17","Mzimba","Nkhorongo Health Centre","3","Health Center","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0717","0717","17","Mzimba","Nkhuyukuyu Health Centre","3","Health Center","","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0718","0718","17","Mzimba","St Johns Mission Hospital","3","Hospital","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0719","0719","25","Rumphi","Thunduwike Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0720","0720","17","Mzimba","Kabwafu Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0721","0721","17","Mzimba","Emsizini Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0722","0722","17","Mzimba","Ekwaiweni Dispensary","3","Dispensary","","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0723","0723","17","Mzimba","Kaweche Health Center","3","Health Center","MOH","2",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
